session_id,user_id,session_number,transcript,csi_score,acoustic_features,temporal_features,linguistic_features,label
3,1,3,okay so this is coming in hindi now we'll see the test score this should be really low because i'm speaking normally my day was fine,72,"{'mfcc_0_mean': -350.931641, 'mfcc_0_var': 2668.670898, 'mfcc_1_mean': 116.834747, 'mfcc_1_var': 881.315979, 'mfcc_2_mean': -71.923203, 'mfcc_2_var': 972.794067, 'mfcc_3_mean': 37.078278, 'mfcc_3_var': 1282.659302, 'mfcc_4_mean': -32.532635, 'mfcc_4_var': 558.488159, 'mfcc_5_mean': -53.073521, 'mfcc_5_var': 346.646362, 'mfcc_6_mean': -30.559721, 'mfcc_6_var': 319.290924, 'mfcc_7_mean': -24.8386, 'mfcc_7_var': 147.740128, 'mfcc_8_mean': -21.761114, 'mfcc_8_var': 236.452148, 'mfcc_9_mean': -41.820141, 'mfcc_9_var': 397.171814, 'mfcc_10_mean': -21.387716, 'mfcc_10_var': 147.664856, 'mfcc_11_mean': -29.85857, 'mfcc_11_var': 238.801605, 'mfcc_12_mean': -20.864305, 'mfcc_12_var': 188.017853, 'mfcc_variance_avg': 645.054932, 'pitch_mean': 166.970268, 'pitch_var': 3401.612052, 'pitch_range': 300.345005, 'voiced_fraction': 0.850242, 'jitter_local': 0.026997, 'jitter_abs': 0.000172, 'energy_mean': 0.034465, 'energy_var': 0.000372, 'energy_range': 0.098718, 'shimmer_local': 0.154525, 'shimmer_abs': 0.005326, 'spectral_centroid_mean': 1287.46591, 'spectral_centroid_var': 159353.343697, 'speech_rate': 6.978155, 'syllable_count': 46, 'duration_sec': 6.592}","{'response_latency': 0.16, 'rhythm_consistency': 1.478671, 'pause_variability': 0.155982, 'speed_variability': 9.978778, 'mean_pause_duration': 0.1856, 'max_pause_duration': 0.48, 'pause_count': 5}","{'sentence_length_mean': 26.0, 'lexical_diversity': 0.9615, 'avg_word_length': 3.9231, 'filler_ratio': 0.0385, 'content_word_ratio': 0.4615, 'syntactic_complexity': 2.0, 'vocabulary_richness': 6.5072, 'word_count': 26, 'sentence_count': 1}",low
4,1,4,"Okay, I'll speak very normally now. This should come really low.",30,"{'mfcc_0_mean': -363.995422, 'mfcc_0_var': 2575.495361, 'mfcc_1_mean': 123.222633, 'mfcc_1_var': 894.848694, 'mfcc_2_mean': -68.220284, 'mfcc_2_var': 654.702148, 'mfcc_3_mean': 28.864008, 'mfcc_3_var': 1394.770386, 'mfcc_4_mean': -25.79101, 'mfcc_4_var': 428.748444, 'mfcc_5_mean': -39.894802, 'mfcc_5_var': 222.89418, 'mfcc_6_mean': -30.955912, 'mfcc_6_var': 193.685089, 'mfcc_7_mean': -38.483158, 'mfcc_7_var': 86.89254, 'mfcc_8_mean': -22.788849, 'mfcc_8_var': 180.660797, 'mfcc_9_mean': -46.146065, 'mfcc_9_var': 371.254028, 'mfcc_10_mean': -27.2036, 'mfcc_10_var': 133.531403, 'mfcc_11_mean': -13.175684, 'mfcc_11_var': 182.424896, 'mfcc_12_mean': -23.432123, 'mfcc_12_var': 204.875671, 'mfcc_variance_avg': 578.829468, 'pitch_mean': 179.78063, 'pitch_var': 4730.216124, 'pitch_range': 224.892002, 'voiced_fraction': 0.915789, 'jitter_local': 0.026179, 'jitter_abs': 0.000159, 'energy_mean': 0.03173, 'energy_var': 0.000341, 'energy_range': 0.076808, 'shimmer_local': 0.180933, 'shimmer_abs': 0.005741, 'spectral_centroid_mean': 1189.051217, 'spectral_centroid_var': 215700.136552, 'speech_rate': 9.90753, 'syllable_count': 30, 'duration_sec': 3.028}","{'response_latency': 0.48, 'rhythm_consistency': 1.23304, 'pause_variability': 0.368, 'speed_variability': 5.296242, 'mean_pause_duration': 0.496, 'max_pause_duration': 0.864, 'pause_count': 2}","{'sentence_length_mean': 5.5, 'lexical_diversity': 1.0, 'avg_word_length': 4.3636, 'filler_ratio': 0.0, 'content_word_ratio': 0.5455, 'syntactic_complexity': 0.0, 'vocabulary_richness': 4.8915, 'word_count': 11, 'sentence_count': 2}",low
5,1,5,I am happy this has been a good day.,22,"{'mfcc_0_mean': -380.197083, 'mfcc_0_var': 4365.248047, 'mfcc_1_mean': 123.97377, 'mfcc_1_var': 455.35495, 'mfcc_2_mean': -78.701057, 'mfcc_2_var': 1184.774536, 'mfcc_3_mean': 21.290007, 'mfcc_3_var': 1100.124634, 'mfcc_4_mean': -23.868361, 'mfcc_4_var': 307.964111, 'mfcc_5_mean': -32.844772, 'mfcc_5_var': 249.557587, 'mfcc_6_mean': -33.831764, 'mfcc_6_var': 295.939972, 'mfcc_7_mean': -36.923801, 'mfcc_7_var': 191.24379, 'mfcc_8_mean': -15.239689, 'mfcc_8_var': 256.624176, 'mfcc_9_mean': -35.881817, 'mfcc_9_var': 310.709747, 'mfcc_10_mean': -32.091274, 'mfcc_10_var': 220.132996, 'mfcc_11_mean': -23.929548, 'mfcc_11_var': 305.963959, 'mfcc_12_mean': -12.827828, 'mfcc_12_var': 260.053101, 'mfcc_variance_avg': 731.053162, 'pitch_mean': 160.653461, 'pitch_var': 1345.368989, 'pitch_range': 120.097681, 'voiced_fraction': 0.831169, 'jitter_local': 0.022775, 'jitter_abs': 0.000147, 'energy_mean': 0.027737, 'energy_var': 0.000323, 'energy_range': 0.064196, 'shimmer_local': 0.242597, 'shimmer_abs': 0.006729, 'spectral_centroid_mean': 1173.917924, 'spectral_centroid_var': 70489.056986, 'speech_rate': 8.223684, 'syllable_count': 20, 'duration_sec': 2.432}","{'response_latency': 0.032, 'rhythm_consistency': 0.864, 'pause_variability': 0.0, 'speed_variability': 0.764096, 'mean_pause_duration': 0.064, 'max_pause_duration': 0.064, 'pause_count': 1}","{'sentence_length_mean': 9.0, 'lexical_diversity': 1.0, 'avg_word_length': 3.0, 'filler_ratio': 0.0, 'content_word_ratio': 0.3333, 'syntactic_complexity': 0.0, 'vocabulary_richness': 4.5074, 'word_count': 9, 'sentence_count': 1}",low
6,1,6,"Session one, let's see if this works.",71,"{'mfcc_0_mean': -356.246429, 'mfcc_0_var': 2797.702881, 'mfcc_1_mean': 105.214722, 'mfcc_1_var': 1511.747437, 'mfcc_2_mean': -53.955952, 'mfcc_2_var': 784.788696, 'mfcc_3_mean': 31.703955, 'mfcc_3_var': 1263.368896, 'mfcc_4_mean': -38.418045, 'mfcc_4_var': 660.119629, 'mfcc_5_mean': -35.555492, 'mfcc_5_var': 276.097198, 'mfcc_6_mean': -29.09416, 'mfcc_6_var': 300.661438, 'mfcc_7_mean': -35.056511, 'mfcc_7_var': 183.209854, 'mfcc_8_mean': -23.312395, 'mfcc_8_var': 236.743744, 'mfcc_9_mean': -36.314968, 'mfcc_9_var': 246.463196, 'mfcc_10_mean': -17.149723, 'mfcc_10_var': 181.115479, 'mfcc_11_mean': -19.517561, 'mfcc_11_var': 144.104294, 'mfcc_12_mean': -11.93311, 'mfcc_12_var': 118.223862, 'mfcc_variance_avg': 669.565125, 'pitch_mean': 211.654733, 'pitch_var': 7055.878303, 'pitch_range': 266.401372, 'voiced_fraction': 0.805825, 'jitter_local': 0.031055, 'jitter_abs': 0.000166, 'energy_mean': 0.03312, 'energy_var': 0.000612, 'energy_range': 0.110583, 'shimmer_local': 0.207191, 'shimmer_abs': 0.006862, 'spectral_centroid_mean': 1375.267999, 'spectral_centroid_var': 388356.899362, 'speech_rate': 8.884804, 'syllable_count': 29, 'duration_sec': 3.264}","{'response_latency': 0.16, 'rhythm_consistency': 0.485502, 'pause_variability': 0.095235, 'speed_variability': 3.945392, 'mean_pause_duration': 0.16, 'max_pause_duration': 0.288, 'pause_count': 7}","{'sentence_length_mean': 7.0, 'lexical_diversity': 1.0, 'avg_word_length': 3.8571, 'filler_ratio': 0.0, 'content_word_ratio': 0.7143, 'syntactic_complexity': 1.0, 'vocabulary_richness': 4.0245, 'word_count': 7, 'sentence_count': 1}",low
7,1,7,अच्छा मैं हिंदी में बात करूंगा देखते हैं कि ये काम करता है ये नहीं,19,"{'mfcc_0_mean': -358.58252, 'mfcc_0_var': 2929.022949, 'mfcc_1_mean': 115.569565, 'mfcc_1_var': 949.397217, 'mfcc_2_mean': -58.774879, 'mfcc_2_var': 590.760437, 'mfcc_3_mean': 45.075947, 'mfcc_3_var': 1258.501465, 'mfcc_4_mean': -27.982859, 'mfcc_4_var': 474.752869, 'mfcc_5_mean': -50.648811, 'mfcc_5_var': 349.546082, 'mfcc_6_mean': -30.146324, 'mfcc_6_var': 328.061584, 'mfcc_7_mean': -32.357155, 'mfcc_7_var': 157.544022, 'mfcc_8_mean': -44.756901, 'mfcc_8_var': 253.422989, 'mfcc_9_mean': -44.982002, 'mfcc_9_var': 260.304749, 'mfcc_10_mean': -10.342871, 'mfcc_10_var': 102.222015, 'mfcc_11_mean': -24.350172, 'mfcc_11_var': 128.683319, 'mfcc_12_mean': -10.110877, 'mfcc_12_var': 146.22699, 'mfcc_variance_avg': 609.880493, 'pitch_mean': 153.886757, 'pitch_var': 65.942617, 'pitch_range': 45.740472, 'voiced_fraction': 0.961538, 'jitter_local': 0.014749, 'jitter_abs': 9.6e-05, 'energy_mean': 0.04096, 'energy_var': 0.00047, 'energy_range': 0.084549, 'shimmer_local': 0.202601, 'shimmer_abs': 0.008298, 'spectral_centroid_mean': 1179.893258, 'spectral_centroid_var': 189603.097367, 'speech_rate': 9.101942, 'syllable_count': 30, 'duration_sec': 3.296}","{'response_latency': 0.48, 'rhythm_consistency': 0.492309, 'pause_variability': 0.196104, 'speed_variability': 3.233064, 'mean_pause_duration': 0.170667, 'max_pause_duration': 0.448, 'pause_count': 3}","{'sentence_length_mean': 0.0, 'lexical_diversity': 0.0, 'avg_word_length': 0.0, 'filler_ratio': 0.0, 'content_word_ratio': 0.0, 'syntactic_complexity': 0.0, 'vocabulary_richness': 0.0, 'word_count': 0, 'sentence_count': 0}",low
8,1,8,now i will try to make it,37,"{'mfcc_0_mean': -326.076111, 'mfcc_0_var': 3968.316895, 'mfcc_1_mean': 145.947388, 'mfcc_1_var': 526.785645, 'mfcc_2_mean': -78.623093, 'mfcc_2_var': 1251.609985, 'mfcc_3_mean': 22.331236, 'mfcc_3_var': 975.593201, 'mfcc_4_mean': -35.618679, 'mfcc_4_var': 358.483612, 'mfcc_5_mean': -60.178898, 'mfcc_5_var': 303.907745, 'mfcc_6_mean': -28.693693, 'mfcc_6_var': 154.767456, 'mfcc_7_mean': -44.457352, 'mfcc_7_var': 179.682602, 'mfcc_8_mean': -28.625227, 'mfcc_8_var': 237.698868, 'mfcc_9_mean': -29.094391, 'mfcc_9_var': 388.920776, 'mfcc_10_mean': -30.315821, 'mfcc_10_var': 140.31987, 'mfcc_11_mean': -23.135544, 'mfcc_11_var': 135.50528, 'mfcc_12_mean': -14.374553, 'mfcc_12_var': 91.926132, 'mfcc_variance_avg': 670.270569, 'pitch_mean': 150.950165, 'pitch_var': 223.071341, 'pitch_range': 61.863908, 'voiced_fraction': 0.724409, 'jitter_local': 0.01616, 'jitter_abs': 0.000108, 'energy_mean': 0.050825, 'energy_var': 0.000716, 'energy_range': 0.106368, 'shimmer_local': 0.134627, 'shimmer_abs': 0.006842, 'spectral_centroid_mean': 1027.72537, 'spectral_centroid_var': 89829.60153, 'speech_rate': 8.928571, 'syllable_count': 36, 'duration_sec': 4.032}","{'response_latency': 0.128, 'rhythm_consistency': 1.664, 'pause_variability': 0.0, 'speed_variability': 0.007476, 'mean_pause_duration': 0.032, 'max_pause_duration': 0.032, 'pause_count': 1}","{'sentence_length_mean': 7.0, 'lexical_diversity': 1.0, 'avg_word_length': 2.7143, 'filler_ratio': 0.0, 'content_word_ratio': 0.2857, 'syntactic_complexity': 0.0, 'vocabulary_richness': 4.0245, 'word_count': 7, 'sentence_count': 1}",low
9,2,1,"Okay, so I'm gonna see if this works.",50,"{'mfcc_0_mean': -343.70575, 'mfcc_0_var': 2185.716064, 'mfcc_1_mean': 107.555199, 'mfcc_1_var': 1514.984863, 'mfcc_2_mean': -66.743256, 'mfcc_2_var': 462.684937, 'mfcc_3_mean': 29.82099, 'mfcc_3_var': 1395.098755, 'mfcc_4_mean': -46.312668, 'mfcc_4_var': 568.414368, 'mfcc_5_mean': -37.490456, 'mfcc_5_var': 447.792633, 'mfcc_6_mean': -25.613667, 'mfcc_6_var': 414.489563, 'mfcc_7_mean': -28.632086, 'mfcc_7_var': 123.128639, 'mfcc_8_mean': -27.884594, 'mfcc_8_var': 416.964417, 'mfcc_9_mean': -37.246449, 'mfcc_9_var': 266.46579, 'mfcc_10_mean': -16.312771, 'mfcc_10_var': 200.735641, 'mfcc_11_mean': -30.812248, 'mfcc_11_var': 393.949127, 'mfcc_12_mean': -8.929502, 'mfcc_12_var': 239.259125, 'mfcc_variance_avg': 663.821838, 'pitch_mean': 213.506513, 'pitch_var': 5596.89108, 'pitch_range': 182.056167, 'voiced_fraction': 0.574468, 'jitter_local': 0.031813, 'jitter_abs': 0.000167, 'energy_mean': 0.038574, 'energy_var': 0.000694, 'energy_range': 0.101678, 'shimmer_local': 0.194562, 'shimmer_abs': 0.007505, 'spectral_centroid_mean': 1466.442856, 'spectral_centroid_var': 285487.395377, 'speech_rate': 9.072581, 'syllable_count': 27, 'duration_sec': 2.976}","{'response_latency': 0.224, 'rhythm_consistency': 0.563344, 'pause_variability': 0.146642, 'speed_variability': 2.688069, 'mean_pause_duration': 0.16, 'max_pause_duration': 0.448, 'pause_count': 6}","{'sentence_length_mean': 9.0, 'lexical_diversity': 1.0, 'avg_word_length': 2.8889, 'filler_ratio': 0.1111, 'content_word_ratio': 0.5556, 'syntactic_complexity': 2.0, 'vocabulary_richness': 4.5074, 'word_count': 9, 'sentence_count': 1}",low
10,2,2,"I'm gonna speak something for 10 seconds. Okay, lunch was fine.",50,"{'mfcc_0_mean': -275.096863, 'mfcc_0_var': 3830.689209, 'mfcc_1_mean': 126.745735, 'mfcc_1_var': 492.603607, 'mfcc_2_mean': -82.864204, 'mfcc_2_var': 1073.233521, 'mfcc_3_mean': 36.027103, 'mfcc_3_var': 674.072632, 'mfcc_4_mean': -36.369965, 'mfcc_4_var': 598.116516, 'mfcc_5_mean': -49.398136, 'mfcc_5_var': 272.709717, 'mfcc_6_mean': -35.134228, 'mfcc_6_var': 366.270233, 'mfcc_7_mean': -37.77774, 'mfcc_7_var': 214.785095, 'mfcc_8_mean': -22.574432, 'mfcc_8_var': 201.115616, 'mfcc_9_mean': -47.365017, 'mfcc_9_var': 287.001617, 'mfcc_10_mean': -17.219717, 'mfcc_10_var': 176.361023, 'mfcc_11_mean': -16.495207, 'mfcc_11_var': 125.145729, 'mfcc_12_mean': -24.397436, 'mfcc_12_var': 115.789528, 'mfcc_variance_avg': 648.2995, 'pitch_mean': 182.300288, 'pitch_var': 3354.69912, 'pitch_range': 217.43229, 'voiced_fraction': 0.683099, 'jitter_local': 0.022285, 'jitter_abs': 0.00013, 'energy_mean': 0.064722, 'energy_var': 0.001474, 'energy_range': 0.232615, 'shimmer_local': 0.197164, 'shimmer_abs': 0.012761, 'spectral_centroid_mean': 1275.720363, 'spectral_centroid_var': 98592.94403, 'speech_rate': 6.427305, 'syllable_count': 29, 'duration_sec': 4.512}","{'response_latency': 1.12, 'rhythm_consistency': 0.542665, 'pause_variability': 0.0128, 'speed_variability': 2.908912, 'mean_pause_duration': 0.0384, 'max_pause_duration': 0.064, 'pause_count': 5}","{'sentence_length_mean': 5.5, 'lexical_diversity': 1.0, 'avg_word_length': 4.1818, 'filler_ratio': 0.0, 'content_word_ratio': 0.7273, 'syntactic_complexity': 0.5, 'vocabulary_richness': 4.8915, 'word_count': 11, 'sentence_count': 2}",low
11,2,3,"Okay, done. Now I'll see what happens.",64,"{'mfcc_0_mean': -328.990875, 'mfcc_0_var': 4576.865234, 'mfcc_1_mean': 133.14296, 'mfcc_1_var': 927.277283, 'mfcc_2_mean': -72.308014, 'mfcc_2_var': 778.715393, 'mfcc_3_mean': 6.376985, 'mfcc_3_var': 1104.643677, 'mfcc_4_mean': -43.851467, 'mfcc_4_var': 498.740295, 'mfcc_5_mean': -37.415848, 'mfcc_5_var': 276.151093, 'mfcc_6_mean': -28.731911, 'mfcc_6_var': 186.860565, 'mfcc_7_mean': -38.023792, 'mfcc_7_var': 96.953972, 'mfcc_8_mean': -20.006983, 'mfcc_8_var': 240.08873, 'mfcc_9_mean': -34.033142, 'mfcc_9_var': 259.266602, 'mfcc_10_mean': -22.968485, 'mfcc_10_var': 159.277725, 'mfcc_11_mean': -21.058533, 'mfcc_11_var': 150.535767, 'mfcc_12_mean': -17.452141, 'mfcc_12_var': 117.099556, 'mfcc_variance_avg': 720.959717, 'pitch_mean': 169.927621, 'pitch_var': 2553.762814, 'pitch_range': 193.710148, 'voiced_fraction': 0.634409, 'jitter_local': 0.027756, 'jitter_abs': 0.000173, 'energy_mean': 0.039687, 'energy_var': 0.000765, 'energy_range': 0.085228, 'shimmer_local': 0.161953, 'shimmer_abs': 0.006427, 'spectral_centroid_mean': 1149.029242, 'spectral_centroid_var': 146613.891259, 'speech_rate': 9.171196, 'syllable_count': 27, 'duration_sec': 2.944}","{'response_latency': 0.0, 'rhythm_consistency': 1.152, 'pause_variability': 0.0, 'speed_variability': 0.013071, 'mean_pause_duration': 0.16, 'max_pause_duration': 0.16, 'pause_count': 1}","{'sentence_length_mean': 3.5, 'lexical_diversity': 1.0, 'avg_word_length': 3.7143, 'filler_ratio': 0.0, 'content_word_ratio': 0.5714, 'syntactic_complexity': 1.0, 'vocabulary_richness': 4.0245, 'word_count': 7, 'sentence_count': 2}",low
12,1,9,Recording again now we'll see what happens,64,"{'mfcc_0_mean': -258.544556, 'mfcc_0_var': 3264.069092, 'mfcc_1_mean': 117.397545, 'mfcc_1_var': 646.047974, 'mfcc_2_mean': -54.153698, 'mfcc_2_var': 673.924622, 'mfcc_3_mean': 20.804987, 'mfcc_3_var': 1379.392456, 'mfcc_4_mean': -40.903713, 'mfcc_4_var': 446.458984, 'mfcc_5_mean': -43.803349, 'mfcc_5_var': 412.790375, 'mfcc_6_mean': -33.845226, 'mfcc_6_var': 320.125732, 'mfcc_7_mean': -27.164207, 'mfcc_7_var': 273.747711, 'mfcc_8_mean': -31.948332, 'mfcc_8_var': 223.580811, 'mfcc_9_mean': -47.597446, 'mfcc_9_var': 291.123199, 'mfcc_10_mean': -8.081088, 'mfcc_10_var': 83.861, 'mfcc_11_mean': -23.761133, 'mfcc_11_var': 128.215576, 'mfcc_12_mean': -15.199286, 'mfcc_12_var': 83.661057, 'mfcc_variance_avg': 632.846069, 'pitch_mean': 160.136601, 'pitch_var': 222.320534, 'pitch_range': 50.998801, 'voiced_fraction': 0.958333, 'jitter_local': 0.008448, 'jitter_abs': 5.3e-05, 'energy_mean': 0.11145, 'energy_var': 0.005553, 'energy_range': 0.265893, 'shimmer_local': 0.165878, 'shimmer_abs': 0.018487, 'spectral_centroid_mean': 1097.838443, 'spectral_centroid_var': 74672.732473, 'speech_rate': 9.973404, 'syllable_count': 15, 'duration_sec': 1.504}","{'response_latency': 0.512, 'rhythm_consistency': 0.592, 'pause_variability': 0.0, 'speed_variability': 2.92858, 'mean_pause_duration': 0.096, 'max_pause_duration': 0.096, 'pause_count': 1}","{'sentence_length_mean': 7.0, 'lexical_diversity': 1.0, 'avg_word_length': 4.7143, 'filler_ratio': 0.0, 'content_word_ratio': 0.4286, 'syntactic_complexity': 1.0, 'vocabulary_richness': 4.0245, 'word_count': 7, 'sentence_count': 1}",low
